Commodity,Date,SARIMA_Forecast_Price
Soybean,2026-01-01,6301.174394309623
Soybean,2026-02-01,6587.346505280668
Soybean,2026-03-01,6697.5431037987055
Soybean,2026-04-01,6546.64575291186
Soybean,2026-05-01,6271.531672907327
Soybean,2026-06-01,5897.653798240387
Soybean,2026-07-01,5500.591297703463
Soybean,2026-08-01,5254.361394894453
Soybean,2026-09-01,5210.4071992405425
Soybean,2026-10-01,5379.287666197042
Soybean,2026-11-01,5664.889890114942
Soybean,2026-12-01,6075.11817211955
Mustard,2026-01-01,8929.537875923272
Mustard,2026-02-01,9155.224373264755
Mustard,2026-03-01,9283.136134692344
Mustard,2026-04-01,9133.667895335158
Mustard,2026-05-01,8843.765248971375
Mustard,2026-06-01,8445.362169310429
Mustard,2026-07-01,8110.295218559766
Mustard,2026-08-01,7853.07816860097
Mustard,2026-09-01,7775.308166764098
Mustard,2026-10-01,7936.585167999494
Mustard,2026-11-01,8284.67553347736
Mustard,2026-12-01,8667.39210431707
Groundnut,2026-01-01,8702.767401408297
Groundnut,2026-02-01,8975.516632848767
Groundnut,2026-03-01,8982.524812155078
Groundnut,2026-04-01,8945.358057187872
Groundnut,2026-05-01,8603.487239618284
Groundnut,2026-06-01,8288.047278894077
Groundnut,2026-07-01,7904.877080555255
Groundnut,2026-08-01,7586.897855219839
Groundnut,2026-09-01,7559.826864094526
Groundnut,2026-10-01,7683.8113291068
Groundnut,2026-11-01,8086.441246854016
Groundnut,2026-12-01,8457.73748240066
Sesame,2026-01-01,8761.131458953267
Sesame,2026-02-01,9086.222084148165
Sesame,2026-03-01,9143.592097727158
Sesame,2026-04-01,9026.535675420504
Sesame,2026-05-01,8714.409310757423
Sesame,2026-06-01,8321.821506232303
Sesame,2026-07-01,7976.685718450132
Sesame,2026-08-01,7718.046310222541
Sesame,2026-09-01,7690.8160259389815
Sesame,2026-10-01,7829.429191477234
Sesame,2026-11-01,8173.317019628349
Sesame,2026-12-01,8561.600961015112
Linseed,2026-01-01,8848.621230681681
Linseed,2026-02-01,9092.46807247631
Linseed,2026-03-01,9204.26768127915
Linseed,2026-04-01,9081.289223471824
Linseed,2026-05-01,8837.80154230521
Linseed,2026-06-01,8406.654518172913
Linseed,2026-07-01,8063.10076267109
Linseed,2026-08-01,7789.975633752012
Linseed,2026-09-01,7719.773152043483
Linseed,2026-10-01,7874.667182742761
Linseed,2026-11-01,8187.044702743666
Linseed,2026-12-01,8661.423790905681
